scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes,pk_len_bytes,sk_len_bytes
schnorr,2048,128,SKGen,0,70,52900,44,33,32
schnorr,2048,128,PKRecon,0,70,5239600,44,33,32
schnorr,2048,128,Setup,0,71,602700,0,33,32
schnorr,2048,128,iCertGen,0,71,1271400,44,33,32
schnorr,2048,128,SKGen,0,71,53900,44,33,32
schnorr,2048,128,PKRecon,0,71,5056000,44,33,32
schnorr,2048,128,Setup,0,72,542800,0,33,32
schnorr,2048,128,iCertGen,0,72,1198200,44,33,32
schnorr,2048,128,SKGen,0,72,52900,44,33,32
schnorr,2048,128,PKRecon,0,72,5026000,44,33,32
schnorr,2048,128,Setup,0,73,529900,0,33,32
schnorr,2048,128,iCertGen,0,73,1177400,44,33,32
schnorr,2048,128,SKGen,0,73,54800,44,33,32
schnorr,2048,128,PKRecon,0,73,5268300,44,33,32
schnorr,2048,128,Setup,0,74,525900,0,33,32
schnorr,2048,128,iCertGen,0,74,1219400,44,33,32
schnorr,2048,128,SKGen,0,74,57200,44,33,32
schnorr,2048,128,PKRecon,0,74,5341100,44,33,32
schnorr,2048,128,Setup,0,75,612000,0,33,32
schnorr,2048,128,iCertGen,0,75,1167200,44,33,32
schnorr,2048,128,SKGen,0,75,55500,44,33,32
schnorr,2048,128,PKRecon,0,75,5344500,44,33,32
schnorr,2048,128,Setup,0,76,593100,0,33,32
schnorr,2048,128,iCertGen,0,76,1227100,44,33,32
schnorr,2048,128,SKGen,0,76,57500,44,33,32
schnorr,2048,128,PKRecon,0,76,5425100,44,33,32
schnorr,2048,128,Setup,0,77,508900,0,33,32
schnorr,2048,128,iCertGen,0,77,1251700,44,33,32
schnorr,2048,128,SKGen,0,77,54400,44,33,32
schnorr,2048,128,PKRecon,0,77,5111500,44,33,32
schnorr,2048,128,Setup,0,78,498500,0,33,32
schnorr,2048,128,iCertGen,0,78,1170300,44,33,32
schnorr,2048,128,SKGen,0,78,58500,44,33,32
schnorr,2048,128,PKRecon,0,78,5397100,44,33,32
schnorr,2048,128,Setup,0,79,564800,0,33,32
schnorr,2048,128,iCertGen,0,79,1175700,44,33,32
schnorr,2048,128,SKGen,0,79,53200,44,33,32
schnorr,2048,128,PKRecon,0,79,5192200,44,33,32
schnorr,2048,128,Setup,0,80,519100,0,33,32
schnorr,2048,128,iCertGen,0,80,1167800,44,33,32
schnorr,2048,128,SKGen,0,80,54600,44,33,32
schnorr,2048,128,PKRecon,0,80,5102800,44,33,32
schnorr,2048,128,Setup,0,81,553900,0,33,32
