scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes,pk_len_bytes,sk_len_bytes
gq,3072,128,Setup,0,26,1040500,0,384,384
gq,3072,128,iCertGen,0,26,6054700,395,384,384
gq,3072,128,SKGen,0,26,3820000,395,384,384
gq,3072,128,PKRecon,0,26,3828900,395,384,384
gq,3072,128,Setup,0,27,1018000,0,384,384
gq,3072,128,iCertGen,0,27,5883400,395,384,384
gq,3072,128,SKGen,0,27,3810600,395,384,384
gq,3072,128,PKRecon,0,27,3840500,395,384,384
gq,3072,128,Setup,0,28,1011500,0,384,384
gq,3072,128,iCertGen,0,28,6097200,395,384,384
gq,3072,128,SKGen,0,28,4029100,395,384,384
gq,3072,128,PKRecon,0,28,4025900,395,384,384
gq,3072,128,Setup,0,29,989300,0,384,384
gq,3072,128,iCertGen,0,29,5669700,395,384,384
gq,3072,128,SKGen,0,29,3600500,395,384,384
gq,3072,128,PKRecon,0,29,3612000,395,384,384
gq,3072,128,Setup,0,30,1006700,0,384,384
gq,3072,128,iCertGen,0,30,5474200,395,384,384
gq,3072,128,SKGen,0,30,3511600,395,384,384
gq,3072,128,PKRecon,0,30,3519000,395,384,384
gq,3072,128,Setup,0,31,977900,0,384,384
gq,3072,128,iCertGen,0,31,5592100,395,384,384
gq,3072,128,SKGen,0,31,3658700,395,384,384
gq,3072,128,PKRecon,0,31,3652000,395,384,384
gq,3072,128,Setup,0,32,994800,0,384,384
gq,3072,128,iCertGen,0,32,5734600,395,384,384
gq,3072,128,SKGen,0,32,3747900,395,384,384
gq,3072,128,PKRecon,0,32,3712500,395,384,384
gq,3072,128,Setup,0,33,1008300,0,384,384
gq,3072,128,iCertGen,0,33,5835100,395,384,384
gq,3072,128,SKGen,0,33,3575000,395,384,384
gq,3072,128,PKRecon,0,33,3578000,395,384,384
gq,3072,128,Setup,0,34,996100,0,384,384
gq,3072,128,iCertGen,0,34,5828500,395,384,384
gq,3072,128,SKGen,0,34,3833700,395,384,384
gq,3072,128,PKRecon,0,34,3844800,395,384,384
gq,3072,128,Setup,0,35,995700,0,384,384
gq,3072,128,iCertGen,0,35,5817400,395,384,384
gq,3072,128,SKGen,0,35,3813300,395,384,384
gq,3072,128,PKRecon,0,35,3831400,395,384,384
gq,3072,128,Setup,0,36,1000200,0,384,384
